Feature_ID,BL21_12hr-BL21_3hr_logFC,BL21_12hr-control_12hr_logFC,BL21_3hr-control_3hr_logFC,CC_12hr-CC_3hr_logFC,CC_12hr-control_12hr_logFC,CC_3hr-control_3hr_logFC,control_12hr-control_3hr_logFC,LPS_12hr-control_12hr_logFC,LPS_12hr-LPS_3hr_logFC,LPS_3hr-control_3hr_logFC
ENSG00000006015,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000006025,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000006042,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000006047,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000006062,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000006118,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr
ENSG00000006125,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000006194,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000006210,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000006282,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000006327,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000006432,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr
ENSG00000006451,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000006453,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000006459,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000006468,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000006530,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000006534,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000006576,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000006606,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000006607,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr
